"species","latitude","longitude","date_obs","source"
"Barbastella barbastellus",48.25517,2.7979,2023-06-13,"gbif"
"Barbastella barbastellus",48.97477,3.2049,2023-06-05,"gbif"
"Barbastella barbastellus",46.69796,6.29458,2023-06-24,"gbif"
"Barbastella barbastellus",44.74325,2.55786,2023-07-19,"gbif"
"Barbastella barbastellus",47.4781,-0.65269,2023-07-11,"gbif"
"Barbastella barbastellus",47.4781,-0.65269,2023-07-11,"gbif"
"Barbastella barbastellus",48.16519,2.79824,2023-07-18,"gbif"
"Barbastella barbastellus",48.34514,2.79755,2023-07-19,"gbif"
"Barbastella barbastellus",48.78948,1.843,2023-07-11,"gbif"
"Barbastella barbastellus",45.088829,3.410521,2023-08-18,"gbif"
"Barbastella barbastellus",44.551971,4.24769,2023-08-30,"gbif"
"Barbastella barbastellus",48.414976,-2.06182,2023-08-13,"gbif"
"Barbastella barbastellus",46.882324,1.00409,2023-08-09,"gbif"
"Barbastella barbastellus",44.86958,-0.4829,2023-08-23,"gbif"
"Barbastella barbastellus",47.539372,4.42241,2023-08-09,"gbif"
"Barbastella barbastellus",47.06102,6.68174,2023-08-16,"gbif"
"Barbastella barbastellus",45.10382,2.68215,2023-09-05,"gbif"
"Barbastella barbastellus",45.10382,2.68215,2023-09-07,"gbif"
"Barbastella barbastellus",48.43051,-2.10661,2023-09-17,"gbif"
"Barbastella barbastellus",49.94914,1.1205,2023-09-14,"gbif"
"Barbastella barbastellus",48.25517,2.7979,2023-09-05,"gbif"
"Barbastella barbastellus",43.122104,0.931098,2023-10-16,"gbif"
"Barbastella barbastellus",44.578413,0.818133,2023-10-13,"gbif"
"Barbastella barbastellus",45.10382,2.68215,2023-10-10,"gbif"
"Barbastella barbastellus",48.34437,2.52763,2023-10-05,"gbif"
"Barbastella barbastellus",48.225709,2.671546,2023-12-20,"gbif"
"Barbastella barbastellus",45.1943,3.06367,2023-08-31,"gbif"
"Barbastella barbastellus",44.74325,2.55786,2023-07-31,"gbif"
"Barbastella barbastellus",48.49283,0.22488,2023-08-31,"gbif"
"Barbastella barbastellus",48.49283,0.22488,2023-08-31,"gbif"
"Barbastella barbastellus",48.49283,0.22488,2023-08-31,"gbif"
"Barbastella barbastellus",48.49283,0.22488,2023-08-31,"gbif"
"Barbastella barbastellus",48.49283,0.22488,2023-08-31,"gbif"
"Barbastella barbastellus",45.10411,3.19071,2022-01-16,"gbif"
"Barbastella barbastellus",44.38187,2.30963,2022-01-23,"gbif"
"Barbastella barbastellus",44.38187,2.30963,2022-01-22,"gbif"
"Barbastella barbastellus",44.38187,2.30963,2022-01-23,"gbif"
"Barbastella barbastellus",45.03688,-0.87469,2022-01-15,"gbif"
"Barbastella barbastellus",46.78373,0.31239,2022-01-26,"gbif"
"Barbastella barbastellus",46.78956,0.57442,2022-01-22,"gbif"
"Barbastella barbastellus",46.69956,0.57844,2022-01-26,"gbif"
"Barbastella barbastellus",46.78059,0.1814,2022-01-23,"gbif"
"Barbastella barbastellus",45.76913,-0.53964,2022-01-29,"gbif"
"Barbastella barbastellus",45.94492,-0.68016,2022-01-26,"gbif"
"Barbastella barbastellus",45.60062,-0.14368,2022-01-25,"gbif"
"Barbastella barbastellus",45.76502,-0.66817,2022-01-29,"gbif"
"Barbastella barbastellus",44.78728,-0.22472,2022-01-29,"gbif"
"Barbastella barbastellus",45.67507,-0.6622,2022-01-29,"gbif"
"Barbastella barbastellus",45.76502,-0.66817,2022-01-29,"gbif"
"Barbastella barbastellus",45.58921,-0.52814,2022-01-30,"gbif"
"Barbastella barbastellus",45.67507,-0.6622,2022-01-29,"gbif"
"Barbastella barbastellus",45.85497,-0.67415,2022-01-27,"gbif"
"Barbastella barbastellus",44.86958,-0.4829,2022-01-29,"gbif"
"Barbastella barbastellus",45.61071,0.24092,2022-01-19,"gbif"
"Barbastella barbastellus",45.85497,-0.67415,2022-01-26,"gbif"
"Barbastella barbastellus",45.41323,-0.389,2022-01-30,"gbif"
"Barbastella barbastellus",45.67507,-0.6622,2022-01-29,"gbif"
"Barbastella barbastellus",45.61071,0.24092,2022-01-22,"gbif"
"Barbastella barbastellus",45.76502,-0.66817,2022-01-29,"gbif"
"Barbastella barbastellus",45.76913,-0.53964,2022-01-29,"gbif"
"Barbastella barbastellus",45.93624,-0.938,2022-01-13,"gbif"
"Barbastella barbastellus",45.85497,-0.67415,2022-01-28,"gbif"
"Barbastella barbastellus",45.94492,-0.68016,2022-01-26,"gbif"
"Barbastella barbastellus",45.6075,0.1127,2022-01-16,"gbif"
"Barbastella barbastellus",44.69358,-0.34568,2022-01-30,"gbif"
"Barbastella barbastellus",45.85497,-0.67415,2022-01-29,"gbif"
"Barbastella barbastellus",45.44211,0.76121,2022-01-19,"gbif"
"Barbastella barbastellus",45.3569,1.02016,2022-01-27,"gbif"
"Barbastella barbastellus",45.3438,0.38191,2022-01-31,"gbif"
"Barbastella barbastellus",44.02313,3.43655,2022-01-21,"gbif"
"Barbastella barbastellus",44.02313,3.43655,2022-01-21,"gbif"
"Barbastella barbastellus",44.02313,3.43655,2022-01-22,"gbif"
"Barbastella barbastellus",44.02313,3.43655,2022-01-21,"gbif"
"Barbastella barbastellus",44.02256,3.56128,2022-01-22,"gbif"
"Barbastella barbastellus",44.02256,3.56128,2022-01-22,"gbif"
"Barbastella barbastellus",43.93257,3.5604,2022-01-22,"gbif"
"Barbastella barbastellus",43.66402,3.06197,2022-01-22,"gbif"
